cell,feature,time,int
cell24_01,30,1,-0.011784612467271
cell24_01,30,2,-0.000348622648803
cell24_01,30,3,0.001247164705968
cell24_01,30,4,1.37532218421571
cell24_01,30,5,1.11805909080964
cell24_01,30,6,1.01610374076478
cell24_01,30,7,0.948476781585722
cell24_01,30,8,0.914702686144802
cell24_01,30,9,0.860839757568685
cell24_01,30,10,0.793522036889819
cell24_01,30,11,0.774894793269686
cell24_01,30,12,0.734422475220806
cell24_01,30,13,0.702299596677145
cell24_01,30,14,0.654671032958697
cell24_01,30,15,0.622574410514109
cell24_01,30,16,0.589623006177476
cell24_01,30,17,0.578204520425057
cell24_01,30,18,0.532238842981234
cell24_01,30,19,0.534566883765708
cell24_01,30,20,0.526789243751413
cell24_01,30,21,0.514708520833485
cell24_01,30,22,0.495526981788478
cell24_01,30,23,0.454795020093209
cell24_01,30,24,0.434525311608842
cell24_01,30,25,0.414804063860668
cell24_01,30,26,0.384043585124461
cell24_01,30,27,0.414261437813159
cell24_01,30,28,0.367359292835731
cell24_01,30,29,0.349756037079446
cell24_01,30,30,0.329681790665957
cell24_01,30,31,0.341109028451401
cell24_01,30,32,0.305348221513956
cell24_01,30,33,0.295764745352306
cell24_01,30,34,0.281603955918927
cell24_01,30,35,0.270914806251869
cell24_01,30,36,0.279299253889185
cell24_01,30,37,0.26448206197898
cell24_01,30,38,0.254183836453676
cell24_01,30,39,0.26605451057902
cell24_01,30,40,0.251905390523007
cell24_01,30,41,0.239384148609521
cell24_01,30,42,0.242838284309793
cell24_01,30,43,0.26387525435596
cell24_01,30,44,0.238301813858844
cell24_01,30,45,0.236227582032076
cell24_01,30,46,0.224476519024732
cell24_01,30,47,0.240688201530147
cell24_01,30,48,0.221559174683286
cell24_01,30,49,0.208606165807266
cell24_01,30,50,0.233914127969309
cell24_01,30,51,0.232122878543662
cell24_01,30,52,0.217285265223067
cell24_01,30,53,0.209236312185018
cell24_01,30,54,0.196219121733486
cell24_01,30,55,0.214245392419281
cell24_01,30,56,0.200965640977018
cell24_01,30,57,0.199002268235225
cell24_01,30,58,0.207342955707419
cell24_01,30,59,0.188491076572995
cell24_01,30,60,0.187265791949588
cell24_01,30,61,0.171695925199291
cell24_01,30,62,0.173294629898403
cell24_01,30,63,0.185903392142133
cell24_01,30,64,0.174975020239076
cell24_01,30,65,0.176672914645798
cell24_01,30,66,0.177781505495547
cell24_01,30,67,0.156414875538797
cell24_01,30,68,0.170674854679785
cell24_01,30,69,0.168658969739846
cell24_01,30,70,0.141886500718396
cell24_01,30,71,0.166503052271517
cell24_01,30,72,0.148759763986843
cell24_01,30,73,0.136215183318625
cell24_01,30,74,0.161718607551546
cell24_01,30,75,0.167999649918679
cell24_01,30,76,0.15783270488874
cell24_01,30,77,0.143654411389312
cell24_01,30,78,0.153179540664133
cell24_01,30,79,0.146364624282515
cell24_01,30,80,0.120481945285207
cell24_01,30,81,0.143984071299896
cell24_01,30,82,0.152846963409209
cell24_01,30,83,0.140305300085332
cell24_01,30,84,0.116158440971184
cell24_01,30,85,0.138327340621832
cell24_01,30,86,0.131982116679187
cell24_01,30,87,0.134884874298925
cell24_01,30,88,0.126065742354734
cell24_01,30,89,0.131325714202362
cell24_01,30,90,0.123585999664505
cell24_01,30,91,0.115347419244262
cell24_01,30,92,0.114936073692118
cell24_01,30,93,0.12109458759691
cell24_01,30,94,0.110793444727265
cell24_01,30,95,0.117036561617959
cell24_01,30,96,0.128177899657941
cell24_01,30,97,0.114938991036459
cell24_01,30,98,0.128259585299502
cell24_01,30,99,0.115960061555966
cell24_01,30,100,0.117838831311857
cell24_01,30,101,0.119603824638431
cell24_01,30,102,0.122891671711241
cell24_01,30,103,0.117733806915565
cell24_01,30,104,0.114810627885436
cell24_01,30,105,0.108132826687866
cell24_01,30,106,0.122462822093049
cell24_01,30,107,0.118582754118926
cell24_01,30,108,0.11052213170351
cell24_01,30,109,0.117640451896638
cell24_01,30,110,0.104850814303739
cell24_01,30,111,0.110691337675314
cell24_01,30,112,0.128953913252766
cell24_01,30,113,0.124251154174355
cell24_01,30,114,0.118218086076245
cell24_01,30,115,0.112745148091692
cell24_01,30,116,0.125138026854155
cell24_01,30,117,0.144153277271699
cell24_01,30,118,0.126071577043417
cell11_01,100,1,0.011211534001212
cell11_01,100,2,-0.011349948001227
cell11_01,100,3,-0.003060071676006
cell11_01,100,4,4.67613742639742
cell11_01,100,5,4.1659696087747
cell11_01,100,6,3.82827311700846
cell11_01,100,7,3.58298480438735
cell11_01,100,8,3.25683278840614
cell11_01,100,9,3.11826166979657
cell11_01,100,10,2.92474393409997
cell11_01,100,11,2.75907733975774
cell11_01,100,12,2.54958588027563
cell11_01,100,13,2.44699491983211
cell11_01,100,14,2.2596122911632
cell11_01,100,15,2.13371166493337
cell11_01,100,16,2.02370620319175
cell11_01,100,17,1.91576198777468
cell11_01,100,18,1.80833776008739
cell11_01,100,19,1.70463574672483
cell11_01,100,20,1.62547416147302
cell11_01,100,21,1.5531621987625
cell11_01,100,22,1.49764696199975
cell11_01,100,23,1.44112915896661
cell11_01,100,24,1.38568499966332
cell11_01,100,25,1.36204239209319
cell11_01,100,26,1.28466522516591
cell11_01,100,27,1.25670185624397
cell11_01,100,28,1.16664297418018
cell11_01,100,29,1.14463140725888
cell11_01,100,30,1.10027533163246
cell11_01,100,31,1.08687161914453
cell11_01,100,32,1.03605123562552
cell11_01,100,33,1.00170211810829
cell11_01,100,34,0.969444174266967
cell11_01,100,35,0.915720837666565
cell11_01,100,36,0.885655072311963
cell11_01,100,37,0.843618366415527
cell11_01,100,38,0.821992114142918
cell11_01,100,39,0.815355723980039
cell11_01,100,40,0.773483618516053
cell11_01,100,41,0.738270348728462
cell11_01,100,42,0.749272391270192
cell11_01,100,43,0.709315636292899
cell11_01,100,44,0.680181359749209
cell11_01,100,45,0.674872995802689
cell11_01,100,46,0.674042511802599
cell11_01,100,47,0.64998840315135
cell11_01,100,48,0.596624194767203
cell11_01,100,49,0.618007287310055
cell11_01,100,50,0.601307825254196
cell11_01,100,51,0.579038134927464
cell11_01,100,52,0.574665000710775
cell11_01,100,53,0.564231577844782
cell11_01,100,54,0.537532639517571
cell11_01,100,55,0.524061590489088
cell11_01,100,56,0.522737305191647
cell11_01,100,57,0.501922832324533
cell11_01,100,58,0.478680503078776
cell11_01,100,59,0.489237376269107
cell11_01,100,60,0.463978691725836
cell11_01,100,61,0.443867511615554
cell11_01,100,62,0.444099448588552
cell11_01,100,63,0.453706128373374
cell11_01,100,64,0.431481329073674
cell11_01,100,65,0.401101326529849
cell11_01,100,66,0.414998840315135
cell11_01,100,67,0.406929678206155
cell11_01,100,68,0.410910015936315
cell11_01,100,69,0.417557628855952
cell11_01,100,70,0.420793523721167
cell11_01,100,71,0.413633404909582
cell11_01,100,72,0.428507298532812
cell11_01,100,73,0.40485720912485
cell11_01,100,74,0.414426479720479
cell11_01,100,75,0.415444009666535
cell11_01,100,76,0.410176795828127
cell11_01,100,77,0.396526182691517
cell11_01,100,78,0.401250963286622
cell11_01,100,79,0.39905130296206
cell11_01,100,80,0.404498080908595
cell11_01,100,81,0.383260884203596
cell11_01,100,82,0.372359846472688
cell11_01,100,83,0.401337004421766
cell11_01,100,84,0.37715570452726
cell11_01,100,85,0.370455718742752
cell11_01,100,86,0.357224088525105
cell11_01,100,87,0.358948652146914
cell11_01,100,88,0.383863172149607
cell11_01,100,89,0.369700053121049
cell11_01,100,90,0.358754124363109
cell11_01,100,91,0.346525060415841
cell11_01,100,92,0.328991373440972
cell11_01,100,93,0.33060745041412
cell11_01,100,94,0.313874320087987
cell11_01,100,95,0.317319706412683
cell11_01,100,96,0.298555257113358
cell11_01,100,97,0.284145237436124
cell11_01,100,98,0.309295435330735
cell11_01,100,99,0.288518371652813
cell11_01,100,100,0.284743784463216
cell11_01,100,101,0.310556125006547
cell11_01,100,102,0.289932439004317
cell11_01,100,103,0.293467607383078
cell11_01,100,104,0.295083684356225
cell11_01,100,105,0.278227103705754
cell11_01,100,106,0.256148200243908
cell11_01,100,107,0.271639345488826
cell11_01,100,108,0.266607809542336
cell11_01,100,109,0.266798596407222
cell11_01,100,110,0.260147242568665
cell11_01,100,111,0.265137628407042
cell11_01,100,112,0.259189567325318
cell11_01,100,113,0.2548688059735
cell11_01,100,114,0.236889949647231
cell11_01,100,115,0.23849854478254
cell11_01,100,116,0.253892426135556
cell11_01,100,117,0.235894865214692
cell11_01,100,118,0.211822051968846
cell13_01,100,1,0.020665801215951
cell13_01,100,2,0.028579983063383
cell13_01,100,3,-0.007952166345288
cell13_01,100,4,8.77801859452889
cell13_01,100,5,8.24742878465248
cell13_01,100,6,7.63112360379041
cell13_01,100,7,6.97750870850473
cell13_01,100,8,6.563200618477
cell13_01,100,9,6.1954391789986
cell13_01,100,10,5.77706898208249
cell13_01,100,11,5.39238433161807
cell13_01,100,12,5.09857647508329
cell13_01,100,13,4.85259780449602
cell13_01,100,14,4.48043016326631
cell13_01,100,15,4.14637214529741
cell13_01,100,16,4.02672991457957
cell13_01,100,17,3.73428056243869
cell13_01,100,18,3.54037640402993
cell13_01,100,19,3.37029076015918
cell13_01,100,20,3.22414875623113
cell13_01,100,21,3.04500045804836
cell13_01,100,22,2.87706875864427
cell13_01,100,23,2.81342908405969
cell13_01,100,24,2.59520590949411
cell13_01,100,25,2.5130744876003
cell13_01,100,26,2.33581647678142
cell13_01,100,27,2.33775592055431
cell13_01,100,28,2.28103836210845
cell13_01,100,29,2.19925550384202
cell13_01,100,30,2.13148222213781
cell13_01,100,31,2.0325035582537
cell13_01,100,32,1.95195407897648
cell13_01,100,33,1.94502302530885
cell13_01,100,34,1.88189725863645
cell13_01,100,35,1.80633492048951
cell13_01,100,36,1.76698744947503
cell13_01,100,37,1.68735853567526
cell13_01,100,38,1.57859327763763
cell13_01,100,39,1.65601015303284
cell13_01,100,40,1.55929268396228
cell13_01,100,41,1.5960706154159
cell13_01,100,42,1.46360749948051
cell13_01,100,43,1.50820576872803
cell13_01,100,44,1.42942592017446
cell13_01,100,45,1.38196317291214
cell13_01,100,46,1.37347698921464
cell13_01,100,47,1.33169851033737
cell13_01,100,48,1.2486465229661
cell13_01,100,49,1.26717848915543
cell13_01,100,50,1.1719714624702
cell13_01,100,51,1.1600130487922
cell13_01,100,52,1.17360703026024
cell13_01,100,53,1.09710625157803
cell13_01,100,54,1.11898532234315
cell13_01,100,55,1.07295704847045
cell13_01,100,56,1.09395130387375
cell13_01,100,57,1.01921568715074
cell13_01,100,58,0.975296670100168
cell13_01,100,59,1.02659808602818
cell13_01,100,60,0.986021704788952
cell13_01,100,61,0.991987505334587
cell13_01,100,62,0.974036478524235
cell13_01,100,63,0.928727675728576
cell13_01,100,64,0.922766343947393
cell13_01,100,65,0.938603645171165
cell13_01,100,66,0.800608198842143
cell13_01,100,67,0.882578745215629
cell13_01,100,68,0.851869395890077
cell13_01,100,69,0.797122562568288
cell13_01,100,70,0.831375642105593
cell13_01,100,71,0.768433094775791
cell13_01,100,72,0.862634649458944
cell13_01,100,73,0.792273953136067
cell13_01,100,74,0.755482615389084
cell13_01,100,75,0.837792787861048
cell13_01,100,76,0.832948647193281
cell13_01,100,77,0.849206012275696
cell13_01,100,78,0.750893194295175
cell13_01,100,79,0.742089728321465
cell13_01,100,80,0.747479058252579
cell13_01,100,81,0.726167520573074
cell13_01,100,82,0.793306237724863
cell13_01,100,83,0.70458785702635
cell13_01,100,84,0.754003454354923
cell13_01,100,85,0.733313074934477
cell13_01,100,86,0.780981385361668
cell13_01,100,87,0.763226984187277
cell13_01,100,88,0.82031098131833
cell13_01,100,89,0.784332958701913
cell13_01,100,90,0.744878237340549
cell13_01,100,91,0.768066656090591
cell13_01,100,92,0.724867110117059
cell13_01,100,93,0.732200352585515
cell13_01,100,94,0.751608196607761
cell13_01,100,95,0.71876277787336
cell13_01,100,96,0.748980563109009
cell13_01,100,97,0.736293740825068
cell13_01,100,98,0.644599163000418
cell13_01,100,99,0.762927576968882
cell13_01,100,100,0.653782473952689
cell13_01,100,101,0.732325477990218
cell13_01,100,102,0.790151290020579
cell13_01,100,103,0.765805461277039
cell13_01,100,104,0.674155571096925
cell13_01,100,105,0.710298937998128
cell13_01,100,106,0.744735236878032
cell13_01,100,107,0.690140341547667
cell13_01,100,108,0.656883796483529
cell13_01,100,109,0.716269207308218
cell13_01,100,110,0.661289998234838
cell13_01,100,111,0.70545479733036
cell13_01,100,112,0.65329537862724
cell13_01,100,113,0.706366425278907
cell13_01,100,114,0.707675773263829
cell13_01,100,115,0.713918637205592
cell13_01,100,116,0.661571530395419
cell13_01,100,117,0.652397156972055
cell13_01,100,118,0.627827890005832
cell28_01,5,1,-0.014087945206766
cell28_01,5,2,-0.009550008841152
cell28_01,5,3,0.00058993172753
cell28_01,5,4,0.319707005791346
cell28_01,5,5,0.312483862941803
cell28_01,5,6,0.294413487372801
cell28_01,5,7,0.275463691032255
cell28_01,5,8,0.264979493222044
cell28_01,5,9,0.267223424514558
cell28_01,5,10,0.268018345781362
cell28_01,5,11,0.271088494453546
cell28_01,5,12,0.268174826345694
cell28_01,5,13,0.259887615658697
cell28_01,5,14,0.260128595727768
cell28_01,5,15,0.251337517623624
cell28_01,5,16,0.227489879619502
cell28_01,5,17,0.233163864882162
cell28_01,5,18,0.230835434084909
cell28_01,5,19,0.234431357453247
cell28_01,5,20,0.23821818711007
cell28_01,5,21,0.234140303603591
cell28_01,5,22,0.219587611120761
cell28_01,5,23,0.231192209771585
cell28_01,5,24,0.239454383568289
cell28_01,5,25,0.224400953279598
cell28_01,5,26,0.233069976543563
cell28_01,5,27,0.218811467521676
cell28_01,5,28,0.22478902507914
cell28_01,5,29,0.229877773031201
cell28_01,5,30,0.218216841377217
cell28_01,5,31,0.220980288143311
cell28_01,5,32,0.224363397944158
cell28_01,5,33,0.222507538451187
cell28_01,5,34,0.216961867251278
cell28_01,5,35,0.203110207696653
cell28_01,5,36,0.210715163123164
cell28_01,5,37,0.220551531397043
cell28_01,5,38,0.218811467521676
cell28_01,5,39,0.21651433283729
cell28_01,5,40,0.194945051849835
cell28_01,5,41,0.211131401424286
cell28_01,5,42,0.204399607546744
cell28_01,5,43,0.207638755228407
cell28_01,5,44,0.202478026216754
cell28_01,5,45,0.215018378642281
cell28_01,5,46,0.205814191848301
cell28_01,5,47,0.202841061126003
cell28_01,5,48,0.21450825200256
cell28_01,5,49,0.212668040566022
cell28_01,5,50,0.206440114105628
cell28_01,5,51,0.198143514584771
cell28_01,5,52,0.19081709456277
cell28_01,5,53,0.204452810938617
cell28_01,5,54,0.183255953694271
cell28_01,5,55,0.197730405894936
cell28_01,5,56,0.190344523258489
cell28_01,5,57,0.202556266498919
cell28_01,5,58,0.193255061755055
cell28_01,5,59,0.175701072048346
cell28_01,5,60,0.186720433388571
cell28_01,5,61,0.181728703386396
cell28_01,5,62,0.190391467427788
cell28_01,5,63,0.196691374947775
cell28_01,5,64,0.179475383260022
cell28_01,5,65,0.17936584686499
cell28_01,5,66,0.183218398358832
cell28_01,5,67,0.170437065864234
cell28_01,5,68,0.156125353450475
cell28_01,5,69,0.16539839169276
cell28_01,5,70,0.173225549520622
cell28_01,5,71,0.161254786349261
cell28_01,5,72,0.169933198447087
cell28_01,5,73,0.137532332796605
cell28_01,5,74,0.145249954229435
cell28_01,5,75,0.175118964349033
cell28_01,5,76,0.158532024529893
cell28_01,5,77,0.139447654904023
cell28_01,5,78,0.175604054098461
cell28_01,5,79,0.164224787460273
cell28_01,5,80,0.166556347868813
cell28_01,5,81,0.161214101402535
cell28_01,5,82,0.168953630114372
cell28_01,5,83,0.177891799948987
cell28_01,5,84,0.170903377945942
cell28_01,5,85,0.169366738804207
cell28_01,5,86,0.16191513433074
cell28_01,5,87,0.186081992686098
cell28_01,5,88,0.183813024503292
cell28_01,5,89,0.178464518814441
cell28_01,5,90,0.195786917285939
cell28_01,5,91,0.196534894383443
cell28_01,5,92,0.202208879646103
cell28_01,5,93,0.18649823098722
cell28_01,5,94,0.1961937667532
cell28_01,5,95,0.187953500235503
cell28_01,5,96,0.188135017690128
cell28_01,5,97,0.183027492070347
cell28_01,5,98,0.175165908518333
cell28_01,5,99,0.181853887837861
cell28_01,5,100,0.16765484143042
cell28_01,5,101,0.183722265775979
cell28_01,5,102,0.187186745470279
cell28_01,5,103,0.182432865925888
cell28_01,5,104,0.169870606221354
cell28_01,5,105,0.171357171582504
cell28_01,5,106,0.179525457040608
cell28_01,5,107,0.198052755857459
cell28_01,5,108,0.199846023124698
cell28_01,5,109,0.190306967923049
cell28_01,5,110,0.171138098792439
cell28_01,5,111,0.16968908876673
cell28_01,5,112,0.158494469194454
cell28_01,5,113,0.163555050644935
cell28_01,5,114,0.169119499512563
cell28_01,5,115,0.152131969448735
cell28_01,5,116,0.176652473879482
cell28_01,5,117,0.164393786469752
cell28_01,5,118,0.170327529469202
cell27_01,5,1,-0.008474035378852
cell27_01,5,2,-0.001622635395545
cell27_01,5,3,0.000392771048846
cell27_01,5,4,0.469351584094737
cell27_01,5,5,0.463189988265965
cell27_01,5,6,0.474047652947501
cell27_01,5,7,0.457801660439609
cell27_01,5,8,0.461950304643045
cell27_01,5,9,0.458692759756679
cell27_01,5,10,0.44627873979409
cell27_01,5,11,0.445348363372136
cell27_01,5,12,0.446536495794895
cell27_01,5,13,0.458103603183409
cell27_01,5,14,0.457423618305095
cell27_01,5,15,0.453152233148895
cell27_01,5,16,0.441698047436924
cell27_01,5,17,0.429752897913895
cell27_01,5,18,0.450643408074391
cell27_01,5,19,0.44034053249935
cell27_01,5,20,0.435624825094142
cell27_01,5,21,0.440099960231932
cell27_01,5,22,0.437252370127798
cell27_01,5,23,0.436687761745082
cell27_01,5,24,0.439191677181475
cell27_01,5,25,0.43880872540885
cell27_01,5,26,0.451468227276968
cell27_01,5,27,0.446804071071922
cell27_01,5,28,0.446298378346532
cell27_01,5,29,0.433663424668968
cell27_01,5,30,0.445804959716419
cell27_01,5,31,0.435205051035688
cell27_01,5,32,0.437286737594572
cell27_01,5,33,0.421521889621516
cell27_01,5,34,0.433525954801872
cell27_01,5,35,0.431429539328656
cell27_01,5,36,0.439572174135045
cell27_01,5,37,0.446214914498652
cell27_01,5,38,0.44661750482372
cell27_01,5,39,0.446914537929409
cell27_01,5,40,0.451092639961509
cell27_01,5,41,0.452749642823827
cell27_01,5,42,0.452378965146479
cell27_01,5,43,0.439982128917278
cell27_01,5,44,0.453704567436334
cell27_01,5,45,0.453228332539609
cell27_01,5,46,0.450223634015937
cell27_01,5,47,0.43521487031191
cell27_01,5,48,0.43043779243032
cell27_01,5,49,0.433768981888345
cell27_01,5,50,0.444248604435367
cell27_01,5,51,0.45772310622984
cell27_01,5,52,0.480697757768275
cell27_01,5,53,0.485391371801985
cell27_01,5,54,0.472208993475091
cell27_01,5,55,0.473603330698494
cell27_01,5,56,0.479386884392751
cell27_01,5,57,0.48155448961857
cell27_01,5,58,0.47288161389624
cell27_01,5,59,0.476443556345462
cell27_01,5,60,0.485359459154266
cell27_01,5,61,0.457048030989636
cell27_01,5,62,0.478400047132526
cell27_01,5,63,0.476345363583251
cell27_01,5,64,0.484517456218302
cell27_01,5,65,0.47279815004836
cell27_01,5,66,0.483788374958882
cell27_01,5,67,0.495915181092002
cell27_01,5,68,0.488224232991786
cell27_01,5,69,0.485749775384057
cell27_01,5,70,0.488013118553031
cell27_01,5,71,0.473895454166074
cell27_01,5,72,0.480358992738645
cell27_01,5,73,0.48569576936484
cell27_01,5,74,0.502044864273054
cell27_01,5,75,0.492787741615566
cell27_01,5,76,0.508059170958509
cell27_01,5,77,0.511220977901719
cell27_01,5,78,0.492282048890176
cell27_01,5,79,0.499072078397101
cell27_01,5,80,0.495949548558776
cell27_01,5,81,0.506218056667043
cell27_01,5,82,0.498598298319431
cell27_01,5,83,0.501907394405959
cell27_01,5,84,0.506701656020935
cell27_01,5,85,0.503124984657381
cell27_01,5,86,0.515907227478263
cell27_01,5,87,0.519793206042783
cell27_01,5,88,0.503372921381965
cell27_01,5,89,0.520755495112456
cell27_01,5,90,0.517532317692863
cell27_01,5,91,0.503876159288299
cell27_01,5,92,0.512472935619916
cell27_01,5,93,0.522594154584866
cell27_01,5,94,0.522120374507195
cell27_01,5,95,0.513177468688783
cell27_01,5,96,0.525672497680196
cell27_01,5,97,0.530582135790771
cell27_01,5,98,0.533252978922924
cell27_01,5,99,0.539989002410632
cell27_01,5,100,0.526929365036503
cell27_01,5,101,0.531667165813208
cell27_01,5,102,0.519184410917071
cell27_01,5,103,0.531920012175903
cell27_01,5,104,0.534492662545844
cell27_01,5,105,0.526040720538489
cell27_01,5,106,0.523549079197372
cell27_01,5,107,0.531615614613047
cell27_01,5,108,0.515909682297318
cell27_01,5,109,0.521703055267796
cell27_01,5,110,0.518214757390233
cell27_01,5,111,0.53454666856506
cell27_01,5,112,0.540705809574776
cell27_01,5,113,0.532339786234357
cell27_01,5,114,0.557057359302046
cell27_01,5,115,0.545460794084868
cell27_01,5,116,0.556350371414123
